"栄養素等別","総数／平均値","総数／標準偏差","総数／標準誤差","1～6歳／平均値","1～6歳／標準偏差","1～6歳／標準誤差","7～14歳／平均値","7～14歳／標準偏差","7～14歳／標準誤差","15～19歳／平均値","15～19歳／標準偏差","15～19歳／標準誤差","20～29歳／平均値","20～29歳／標準偏差","20～29歳／標準誤差","30～39歳／平均値","30～39歳／標準偏差","30～39歳／標準誤差","40～49歳／平均値","40～49歳／標準偏差","40～49歳／標準誤差","50～59歳／平均値","50～59歳／標準偏差","50～59歳／標準誤差","60～69歳／平均値","60～69歳／標準偏差","60～69歳／標準誤差","70歳以上／平均値","70歳以上／標準偏差","70歳以上／標準誤差","(再掲)20歳以上／平均値","(再掲)20歳以上／標準偏差","(再掲)20歳以上／標準誤差"
"調査人数(人)","433","","","19","","","36","","","22","","","28","","","34","","","68","","","59","","","72","","","95","","","356","",""
"エネルギー(kcal)","1849","552","27","1275","341","78","1849","447","75","2182","602","128","1855","548","104","1854","536","92","1805","446","54","1950","515","67","1955","575","68","1772","603","62","1859","547","29"
"たんぱく質(g)","69.1","23.8","1.1","47.8","15.7","3.6","66.2","18.4","3.1","80.0","25.8","5.5","72.3","27.3","5.2","68.9","23.9","4.1","64.8","21.8","2.6","72.1","22.8","3.0","75.3","22.1","2.6","67.7","25.6","2.6","69.9","23.9","1.3"
"うち動物性(g)","38.1","18.1","0.9","28.4","14.1","3.2","37.2","12.5","2.1","49.3","22.9","4.9","41.5","20.1","3.8","39.2","15.7","2.7","34.1","15.9","1.9","39.2","19.7","2.6","42.9","17.1","2.0","35.1","18.9","1.9","38.1","18.1","1.0"
"アミノ酸組成によるたんぱく質(g)","19.3","10.1","0.5","12.2","5.0","1.1","16.9","6.1","1.0","19.4","8.2","1.8","23.0","12.6","2.4","19.7","9.6","1.7","18.6","11.2","1.4","21.9","13.0","1.7","19.5","8.8","1.0","19.0","9.3","1.0","19.9","10.6","0.6"
"脂質","57.8","24.2","1.2","43.4","17.8","4.1","59.6","21.0","3.5","72.8","27.8","5.9","60.5","29.8","5.6","61.4","24.9","4.3","58.4","21.9","2.7","58.5","22.0","2.9","59.4","23.8","2.8","52.5","24.7","2.5","57.5","24.1","1.3"
"動物性脂質(g)","29.8","16.2","0.8","26.3","14.2","3.2","32.7","16.0","2.7","44.8","24.5","5.2","32.5","21.7","4.1","30.1","13.5","2.3","29.5","14.5","1.8","29.4","15.2","2.0","31.3","14.6","1.7","24.4","13.7","1.4","28.8","15.2","0.8"
"植物性脂質(g)","28.0","15.1","0.7","17.1","9.5","2.2","26.9","10.5","1.8","28.0","12.0","2.6","28.0","14.7","2.8","31.3","16.2","2.8","28.8","12.9","1.6","29.1","15.1","2.0","28.1","14.2","1.7","28.1","19.0","2.0","28.7","15.7","0.8"
"炭水化物(g)","243.2","73.7","3.5","170.5","50.1","11.5","256.3","62.9","10.5","290.6","89.3","19.0","240.6","69.8","13.2","234.8","83.4","14.3","238.3","55.7","6.8","249.0","75.2","9.8","249.7","66.4","7.8","240.7","81.3","8.3","242.9","72.0","3.8"
"カリウム(mg)","2266","875","42","1583","547","126","2197","651","109","2260","658","140","2191","785","148","2140","822","141","2072","745","90","2299","830","108","2648","1064","125","2328","933","96","2310","907","48"
"カルシウム(mg)","510","266","13","471","278","64","587","187","31","538","275","59","486","370","70","450","227","39","415","196","24","513","294","38","602","292","34","506","244","25","502","271","14"
"マグネシウム(mg)","241","96","5","155","49","11","209","54","9","225","66","14","243","114","21","225","87","15","221","87","11","255","87","11","282","115","14","252","98","10","249","100","5"
"リン(mg)","993","348","17","763","276","63","994","245","41","1102","368","78","1018","401","76","946","303","52","893","287","35","1036","365","48","1121","356","42","970","371","38","998","355","19"
"鉄(mg)","7.3","3.2","0.2","4.4","1.7","0.4","6.1","1.9","0.3","6.8","2.0","0.4","7.6","3.6","0.7","7.3","3.0","0.5","6.7","2.9","0.4","7.5","3.1","0.4","8.2","3.4","0.4","7.9","3.5","0.4","7.6","3.3","0.2"
"亜鉛(mg)","7.9","2.9","0.1","5.6","1.7","0.4","8.0","2.0","0.3","9.8","2.8","0.6","8.5","3.3","0.6","8.0","2.7","0.5","7.9","2.3","0.3","8.0","2.8","0.4","8.2","2.7","0.3","7.5","3.4","0.4","7.9","2.9","0.2"
"銅(mg)","1.08","0.40","0.02","0.70","0.22","0.05","1.00","0.27","0.04","1.09","0.24","0.05","1.17","0.53","0.10","0.98","0.33","0.06","1.01","0.34","0.04","1.09","0.39","0.05","1.19","0.41","0.05","1.13","0.46","0.05","1.10","0.42","0.02"
"マンガン(μg)","3.08","1.41","0.07","1.44","0.52","0.12","2.53","0.92","0.15","2.90","1.05","0.22","3.09","1.84","0.35","2.90","1.21","0.21","2.91","1.11","0.13","3.08","1.29","0.17","3.41","1.57","0.18","3.60","1.49","0.15","3.24","1.43","0.08"
"ヨウ素(μg)","1317","5600","269","717","2519","578","1063","3897","649","879","2053","438","349","775","147","2165","8000","1372","708","2925","355","738","4041","526","2260","8751","1031","1697","6136","630","1402","6004","318"
"セレン(μg)","44","34","2","33","17","4","32","18","3","46","34","7","44","41","8","43","32","6","38","28","3","49","53","7","48","30","3","49","33","3","46","36","2"
"クロム(μg)","5","3","0","4","2","0","6","3","0","6","4","1","5","3","1","6","3","1","5","3","0","5","3","0","6","3","0","6","4","0","6","3","0"
"モリブデン(μg)","152","84","4","110","78","18","147","68","11","151","65","14","193","119","22","138","82","14","145","78","10","152","73","9","157","82","10","155","91","9","155","86","5"
"ビタミンA(レチノール当量)(μgRE)","530","679","33","447","347","80","464","228","38","433","153","33","789","1747","330","391","301","52","529","671","81","491","531","69","689","830","98","472","297","31","547","739","39"
"ビタミンD(μg)","7.5","8.0","0.4","5.3","7.0","1.6","5.2","7.0","1.2","5.8","4.4","0.9","5.4","6.0","1.1","7.4","7.7","1.3","6.4","8.5","1.0","7.5","8.4","1.1","10.6","9.1","1.1","8.5","7.9","0.8","8.0","8.3","0.4"
"ビタミンE(α-トコフェロール)(mg)","6.4","3.1","0.2","4.1","1.5","0.3","5.9","2.3","0.4","6.3","2.3","0.5","6.0","3.1","0.6","6.2","2.6","0.4","5.9","2.9","0.3","6.4","3.0","0.4","7.5","3.7","0.4","6.9","3.5","0.4","6.6","3.3","0.2"
"ビタミンK(μg)","225","159","8","216","132","30","208","123","20","149","80","17","254","181","34","188","131","23","221","141","17","205","166","22","256","171","20","246","183","19","231","166","9"
"ビタミンB1(mg)","0.86","0.38","0.02","0.57","0.19","0.04","0.85","0.36","0.06","1.01","0.39","0.08","0.95","0.46","0.09","0.74","0.31","0.05","0.85","0.35","0.04","0.84","0.35","0.05","0.92","0.38","0.05","0.86","0.42","0.04","0.86","0.38","0.02"
"ビタミンB2(mg)","1.14","0.49","0.02","0.89","0.40","0.09","1.18","0.38","0.06","1.15","0.44","0.09","1.18","0.49","0.09","1.09","0.42","0.07","1.02","0.37","0.04","1.12","0.49","0.06","1.32","0.69","0.08","1.13","0.46","0.05","1.14","0.51","0.03"
"ナイアシン(mgNE)","14.6","7.4","0.4","7.8","3.3","0.8","10.7","4.2","0.7","15.5","6.6","1.4","16.0","9.6","1.8","15.2","6.9","1.2","14.0","6.2","0.7","16.9","9.9","1.3","16.0","6.3","0.7","14.3","7.0","0.7","15.2","7.5","0.4"
"ビタミンB6(mg)","1.12","0.50","0.02","0.72","0.27","0.06","1.00","0.35","0.06","1.15","0.34","0.07","1.20","0.61","0.11","1.06","0.42","0.07","1.03","0.41","0.05","1.18","0.50","0.07","1.31","0.55","0.06","1.14","0.56","0.06","1.16","0.52","0.03"
"ビタミンB12(μg)","6.5","6.9","0.3","3.5","4.1","0.9","4.2","3.9","0.7","6.0","5.0","1.1","7.0","10.2","1.9","6.4","6.0","1.0","5.0","5.0","0.6","6.3","6.3","0.8","8.3","7.3","0.9","7.7","8.5","0.9","6.9","7.3","0.4"
"葉酸(μg)","278","146","7","170","63","15","235","87","15","223","78","17","302","249","47","253","114","19","251","118","14","276","128","17","338","176","21","305","137","14","291","153","8"
"パントテン酸(mg)","5.42","1.86","0.09","4.57","1.79","0.41","5.68","1.48","0.25","5.95","1.94","0.41","6.05","2.39","0.45","5.22","1.82","0.31","5.00","1.52","0.18","5.33","1.69","0.22","5.96","1.85","0.22","5.22","2.01","0.21","5.41","1.88","0.10"
"ビオチン(μg)","22.7","17.1","0.8","15.2","7.8","1.8","18.2","6.4","1.1","18.3","7.2","1.5","30.4","49.1","9.3","20.7","9.5","1.6","20.1","9.1","1.1","24.3","18.7","2.4","26.1","12.7","1.5","23.5","11.0","1.1","23.8","18.4","1.0"
"ビタミンC(mg)","92","70","3","63","39","9","83","62","10","76","48","10","79","49","9","67","44","8","78","53","6","80","65","8","116","94","11","118","74","8","96","72","4"
"コレステロール(mg)","307","176","8","235","120","28","285","151","25","353","154","33","377","198","37","301","181","31","267","167","20","309","182","24","361","184","22","285","171","18","310","181","10"
"食物繊維(g)","14.2","6.4","0.3","9.4","3.4","0.8","14.2","4.7","0.8","13.6","3.4","0.7","12.4","5.4","1.0","13.0","5.1","0.9","12.9","4.6","0.6","14.2","7.4","1.0","16.4","7.1","0.8","15.6","7.8","0.8","14.5","6.8","0.4"
"うち水溶性(g)","3.4","1.5","0.1","2.3","0.9","0.2","3.6","1.5","0.3","3.3","1.2","0.2","2.9","1.1","0.2","3.1","1.4","0.2","3.3","1.4","0.2","3.4","1.6","0.2","3.8","1.7","0.2","3.5","1.5","0.2","3.4","1.5","0.1"
"うち不溶性(g)","10.3","4.9","0.2","6.8","2.5","0.6","10.1","3.6","0.6","9.7","2.2","0.5","9.0","4.3","0.8","9.2","3.8","0.6","9.4","3.3","0.4","10.3","5.9","0.8","11.6","4.7","0.6","11.4","6.4","0.7","10.5","5.2","0.3"
"食塩(ナトリウム×2.54/1000)(g)","9.7","4.0","0.2","4.9","2.0","0.5","9.0","3.4","0.6","10.4","4.4","0.9","9.4","4.7","0.9","9.7","3.9","0.7","9.2","3.7","0.4","10.2","3.6","0.5","10.7","4.0","0.5","10.1","4.0","0.4","10.0","3.9","0.2"
"飽和脂肪酸(g)","15.9","7.8","0.4","14.3","8.0","1.8","18.1","7.1","1.2","22.6","11.4","2.4","15.9","8.7","1.6","16.5","7.2","1.2","15.9","6.8","0.8","15.9","8.1","1.1","16.6","8.0","0.9","13.3","6.4","0.7","15.4","7.4","0.4"
"一価不飽和脂肪酸(g)","19.7","9.4","0.4","14.1","6.1","1.4","19.1","7.6","1.3","25.3","10.7","2.3","20.8","10.5","2.0","22.2","9.7","1.7","20.3","8.5","1","19.4","7.4","1.0","20.5","8.5","1.0","17.8","11.1","1.1","19.7","9.4","0.5"
"n-3系脂肪酸(g)","2.2","1.5","0.1","1.1","0.8","0.2","1.5","1.0","0.2","2.1","1.2","0.2","1.9","1.1","0.2","2.5","1.6","0.3","1.8","1.2","0.1","2.3","1.4","0.2","2.7","2.0","0.2","2.4","1.6","0.2","2.3","1.6","0.1"
"n-6系脂肪酸(g)","9.6","4.8","0.2","6.5","2.6","0.6","9.1","2.8","0.5","10.9","4.4","0.9","10.5","5.5","1.0","10.4","5.0","0.9","9.5","4.3","0.5","10.0","4.9","0.6","9.5","4.7","0.6","9.6","5.6","0.6","9.8","5.0","0.3"
"脂肪エネルギー比率*(%)","27.9","7.4","0.4","30.3","7.0","1.6","28.7","5.6","0.9","30.0","8.3","1.8","28.6","9.4","1.8","29.7","7.6","1.3","28.6","6.5","0.8","26.9","7.0","0.9","27.4","7.8","0.9","26.2","7.2","0.7","27.5","7.4","0.4"
"炭水化物エネルギー比率*(%)","57.0","8.5","0.4","54.8","9.1","2.1","56.9","6.4","1.1","55.4","10.0","2.1","55.8","10.2","1.9","55.0","9.2","1.6","57.2","7.6","0.9","58.0","8.7","1.1","56.9","9.4","1.1","58.3","7.8","0.8","57.2","8.6","0.5"
"動物性たんぱく質比率*(%)","53.8","13.1","0.6","56.9","12.9","3.0","56.0","6.9","1.1","59.6","11.1","2.4","55.8","15.5","2.9","57.2","10.1","1.7","50.9","13.0","1.6","53.4","14.6","1.9","56.1","10.8","1.3","50.0","15.2","1.6","53.1","13.7","0.7"
